Francesca Bertini,nm0078116,"tt0074084, tt0197802, tt0050088, tt0035822, tt0025584, tt0207424, tt0207466, tt0020522, tt0020284, tt0188066, tt0189843, tt0341355, tt0166542, tt1065428, tt0178489, tt0214231, tt0190594, tt0184715, tt1065423, tt0168691, tt0250954, tt0168698, tt0171313, tt0247922, tt0254095, tt0172444, tt0183457, tt1495856, tt0203124, tt0190596, tt0182292, tt0196012, tt1065500, tt0284886, tt0299702, tt0182271, tt0196015, tt0166547, tt0193719, tt0183445, tt0010570, tt0194398, tt0199297, tt0179883, tt0171294, tt0185896, tt0193242, tt0009457, tt0178513, tt0184717, tt0174669, tt0009715, tt1177940, tt0254094, tt0183479, tt0193434, tt0194238, tt0255795, tt0278957, tt0193382, tt0169838, tt0183481, tt0188096, tt0216376, tt0172436, tt1065449, tt0167890, tt0189842, tt0166130, tt0193415, tt0167894, tt0991281, tt0003637, tt0455131, tt0159341, tt0169780, tt0188098, tt0188099, tt0168696, tt1228940, tt0201063, tt0196014, tt0200070, tt0003740, tt0191331, tt0159338, tt0244967, tt0178570, tt0254093, tt0259195, tt0263067, tt0278953, tt0214218, tt0158527, tt0216362, tt1064813, tt1065409, tt0178508, tt0211054, tt0178618, tt0183462, tt0215314, tt0210351, tt1065521, tt0167844, tt1064785, tt0193406, tt0179234, tt1398936, tt0193408, tt0178617, tt1065517, tt0181642, tt0409133, tt1070852, tt0192429, tt1051781, tt0342394, tt1041704, tt0200067, tt0383483, tt0296506, tt1065516, tt0160112, tt1065420, tt0209388, tt0296521, tt1065496, tt0123088, tt0295218, tt0345266, tt1065460, tt1012730, tt0166549, tt0211683, tt1065401, tt0001314, tt0184700, tt0001378, tt0183433, tt1065465, tt0382227, tt1065430, tt0393670, tt1065518, tt0000587, tt1495856, tt0185896, tt0193242, tt0178513, tt0003637, tt0003637, tt0084235, tt0077884, tt1478504, tt0229343, tt0046489, tt1065486"
Lyda Borelli,nm0096330,"tt0182274, tt0169801, tt0161378, tt0193530, tt0005951, tt0008252, tt0183455, tt0171307, tt0158511, tt0184705, tt0173845, tt0185483, tt0963330, tt0004384, tt0003102, tt0229343, tt0102360, tt0046489, tt1065486"
Pina Menichelli,nm0579618,"tt0963319, tt0963275, tt0963323, tt0167867, tt0330235, tt0963322, tt0203095, tt0342355, tt0963350, tt0963359, tt0200057, tt0336292, tt0011735, tt0188956, tt0194217, tt0347065, tt0963313, tt0963320, tt0963325, tt0347051, tt0963345, tt0963351, tt0007459, tt0173869, tt0963360, tt0963280, tt0963270, tt0963336, tt0963324, tt0934778, tt0173845, tt0963314, tt0425346, tt0963312, tt0004022, tt0203099, tt0963317, tt0211693, tt0934846, tt0963330, tt0963295, tt0003740, tt0183439, tt0192439, tt1175068, tt0963358, tt0203091, tt0963329, tt0963326, tt0963273, tt0963284, tt0963285, tt0200059, tt0963282, tt0182283, tt0963333, tt0963268, tt0963348, tt0806929, tt0963367, tt0963310, tt0978368, tt0229343, tt0046489"
Italia Almirante Manzini,nm0021935,"tt0025930, tt0157374, tt0338742, tt0336955, tt0215057, tt0345942, tt0200674, tt0347509, tt0340625, tt0331286, tt0197914, tt0197453, tt0337331, tt0270498, tt0310394, tt0965471, tt0178567, tt0179872, tt0965499, tt0169813, tt0185463, tt0345775, tt0172441, tt0270503, tt0008236, tt0008235, tt0008237, tt0345084, tt0965516, tt0193316, tt0193243, tt0965527, tt0965542, tt0193160, tt0193580, tt0172892, tt0192969, tt0965534, tt0965465, tt0965520, tt0965537, tt0270566, tt0943353, tt0965526, tt0965470, tt0003740, tt0943471, tt0965530, tt0454079, tt0949406, tt0965475, tt0953537, tt0965513, tt0965535, tt0965486, tt0201058, tt0175659, tt0046489"
Leda Gys,nm0350524,"tt1045209, tt1045197, tt0385070, tt0312996, tt0396144, tt1044989, tt0270356, tt1045186, tt0268010, tt1045200, tt1045047, tt1045108, tt1045202, tt1045153, tt0145768, tt0822039, tt0463162, tt0457992, tt0463152, tt0173830, tt0011104, tt0456381, tt0458099, tt0456361, tt0922971, tt0456419, tt0456478, tt1045195, tt0270652, tt0193393, tt1045152, tt1045234, tt1045033, tt0794151, tt1081025, tt1045087, tt1045188, tt0007519, tt0007176, tt0006690, tt0214471, tt1045074, tt0192971, tt0006542, tt0006511, tt0006360, tt0455435, tt0215030, tt0184705, tt1041687, tt0203106, tt1041703, tt1045151, tt1045097, tt0963314, tt1045016, tt1045096, tt1045183, tt1045165, tt1045037, tt1045085, tt0192465, tt1045101, tt0194241, tt0200070, tt0159338, tt0244967, tt0178570, tt0310635, tt0169785, tt1045238, tt0178517, tt0203125, tt0963367, tt1031602, tt1045161, tt0209376, tt1045003, tt1155513, tt1045060, tt1045090, tt1065486"
Elena Sangro,nm0762718,"tt0043505, tt0035606, tt0036500, tt0033080, tt0026913, tt0435512, tt0928022, tt0167756, tt0017097, tt0017096, tt0462512, tt0015103, tt0928075, tt0928073, tt0015253, tt0927144, tt0211680, tt0456640, tt0268502, tt0928053, tt0928058, tt0927133, tt0201068, tt0929492, tt0928039, tt0928037, tt0171275, tt0928057, tt0929449, tt0929477, tt0456614, tt0929411, tt0929422, tt0172427, tt0929451, tt0193840, tt0929489, tt0929462, tt0923027, tt0929413, tt0927103, tt0929424, tt0481896, tt0193190, tt0171301"
Helena Makowska,nm0538729,"tt0051672, tt0046754, tt0043949, tt0041342, tt0151235, tt0016757, tt0471906, tt0965628, tt0924236, tt0165823, tt0484097, tt0249140, tt0486850, tt0343065, tt0488667, tt0014233, tt0014387, tt0014059, tt0013677, tt0014170, tt0138400, tt0013351, tt0442617, tt0427897, tt0956157, tt0197792, tt0965663, tt0965609, tt0965602, tt0963359, tt0965625, tt0965675, tt0965603, tt0965677, tt0955233, tt0965610, tt0203801, tt0195186, tt0167755, tt0965619, tt0965686, tt0310840, tt0008040, tt1309653, tt0336428, tt0183429, tt0173822, tt0965681, tt0182272, tt0342414, tt0965691, tt0965578, tt0176765, tt0965616, tt0215298, tt0949378, tt0965611, tt0965595, tt0965687, tt0200054, tt0203926, tt0046489, tt0229343"
Hesperia,nm0381428,"tt0030530, tt0822044, tt1000141, tt0349735, tt0821981, tt1000067, tt1000092, tt1049030, tt1063602, tt1031572, tt1063597, tt1063654, tt1063663, tt1063613, tt0193308, tt1063667, tt0794150, tt1063608, tt1041877, tt0188397, tt0451690, tt1049154, tt1063609, tt1063646, tt0193428, tt1050144, tt0310646, tt1071314, tt0822001, tt1063635, tt1063588, tt1063629, tt1063640, tt1063650, tt0006041, tt1464322, tt0938630, tt0171274, tt1063664, tt1062220, tt0903903, tt0169784, tt1063666, tt1063661, tt1063642, tt2841832, tt1063593, tt1063630, tt1063605, tt1031643, tt0963326, tt1063603, tt0169785, tt0963285, tt0817936, tt1018791, tt1063610, tt1047601, tt0203125, tt0963367, tt1031602, tt1045161, tt1063616, tt1045060, tt1027052, tt1027193, tt1031565, tt1027017, tt1026981, tt1027142"
Diana Karenne,nm0439188,"tt0032756, tt0198377, tt0019915, tt0020571, tt0215318, tt0019308, tt0258588, tt0018088, tt0017736, tt0132174, tt0484204, tt0129759, tt0014329, tt0013588, tt0189716, tt0167870, tt0012720, tt1065507, tt0197907, tt1065441, tt0903778, tt1065510, tt0904017, tt0187294, tt1064830, tt0183434, tt1065427, tt0903987, tt0005958, tt0903988, tt0193391, tt0345775, tt1041868, tt0903812, tt0903870, tt0903927, tt0903962, tt0173822, tt1587274, tt1065459, tt0903876, tt0407081, tt1065405, tt1065485, tt1636560, tt0903778, tt0904017, tt0903987, tt0903988, tt0193391, tt0903812, tt0903870, tt0903927, tt0903962, tt0903876, tt0452377"
Soava Gallone,nm0303122,"tt0211615, tt0017741, tt1047596, tt0161410, tt0216347, tt1047681, tt0216389, tt1047644, tt0193392, tt1047617, tt0457171, tt1047615, tt0928016, tt0184704, tt0188100, tt0247166, tt1047702, tt0183483, tt0209361, tt1047587, tt0193278, tt1047605, tt1047643, tt0278325, tt1047685, tt1047579, tt1047593, tt1047585, tt0203108, tt1047616, tt1047695, tt1047578, tt1047586, tt1047700, tt1047651, tt0963330, tt0003740, tt1047672, tt0278961, tt0200059, tt1047601, tt0229343, tt1065486"
Mercedes Brignone,nm0109266,"tt0287857, tt5567202, tt0419316, tt0299354, tt0053402, tt1062992, tt2322242, tt7162424, tt7197794, tt0043755, tt0036825, tt0035212, tt0036331, tt0140470, tt0032046, tt0030064, tt0030417, tt0027299, tt0029736, tt0025470, tt0026976, tt0025757, tt0025866, tt0022431, tt0022328, tt0020790, tt0021177, tt0020738, tt0015102, tt0169823, tt1067232, tt1067692, tt0275610, tt1067741, tt1067721, tt1082047, tt1081019, tt1067205, tt1013572, tt1080896, tt1067203, tt1175215, tt1080968, tt1080998, tt1074508, tt0008040, tt1080902, tt1080885, tt0943413, tt0925076, tt0176765, tt1067161, tt1080956, tt1080884, tt1081015, tt0186352, tt1063666, tt1080980, tt1080924, tt1080971, tt1080914, tt1081004, tt1080987, tt1080955"
Maria Jacobini,nm0414294,"tt0035821, tt0036389, tt0034635, tt0036417, tt0385972, tt0035333, tt0035331, tt0035511, tt0156303, tt0032778, tt0032320, tt0031262, tt0026415, tt0029988, tt0029721, tt0025626, tt0022342, tt0022258, tt0022431, tt0211567, tt0020134, tt0019609, tt0018922, tt0227723, tt0341019, tt0435512, tt0205799, tt0128935, tt0017673, tt0293163, tt0016633, tt0341062, tt0462205, tt0487481, tt0195172, tt0338312, tt0015366, tt0137399, tt0179238, tt0287952, tt0161388, tt0216353, tt0200022, tt0195171, tt0197236, tt0161386, tt0215331, tt0198972, tt1041688, tt0171266, tt0167755, tt0191332, tt0263069, tt1041878, tt1041843, tt0193507, tt0193161, tt0193463, tt0938525, tt0166141, tt1041832, tt1041790, tt1041710, tt1041687, tt1041795, tt1041849, tt1041703, tt1041818, tt1041866, tt1041823, tt1041682, tt1041732, tt1290484, tt1041699, tt1041736, tt1041728, tt1041763, tt0177807, tt1041700, tt1041727, tt1041846, tt1041737, tt0215317, tt1041686, tt0965482, tt1041810, tt1041875, tt0938564, tt0965683, tt1041815, tt1041882, tt1041691, tt0176755, tt0965486, tt1041704, tt1041872, tt0214527, tt0183433, tt0287952, tt0137399, tt0173839, tt1439230, tt1065486"
Rina De Liguoro,nm0209740,"tt0057091, tt0049508, tt0043470, tt0041214, tt0039254, tt0039773, tt0035000, tt0032740, tt0129753, tt0026107, tt0022274, tt0021633, tt0021106, tt0021310, tt0265048, tt0020120, tt0185493, tt0018739, tt0172442, tt0131314, tt0312448, tt0019198, tt0018538, tt0017736, tt0175645, tt0175646, tt0143962, tt0158526, tt0196891, tt0173855, tt0216347, tt0184708, tt0013388, tt0015253, tt0211685, tt0256369, tt1072657, tt0956157, tt0197792, tt0201068, tt0196013, tt0158526"
